Title,AvailableGlobally,ReleaseDate,HoursViewed
The Circle: Season 5,Yes,28-12-2022,"5,44,00,000"
The Ultimatum: Queer Love: Season 1,Yes,24-05-2023,"5,38,00,000"
Never Have I Ever: Season 2,Yes,15-07-2021,"5,37,00,000"
Brooklyn Nine-Nine: Season 3,No,,"5,36,00,000"
¡Que viva México!,Yes,11-05-2023,"5,35,00,000"
Emily in Paris: Season 2,Yes,22-12-2021,"5,33,00,000"
The Last Kingdom: Season 5,No,09-03-2022,"5,33,00,000"
Full Swing: Season 1,Yes,15-02-2023,"5,31,00,000"
The Walking Dead: Season 8,No,,"5,30,00,000"
Welcome to Eden: Season 1 // Bienvenidos a Edén: Temporada 1,Yes,06-05-2022,"5,30,00,000"
We Can Be Heroes,Yes,25-12-2020,"5,28,00,000"
Arnold: Limited Series,Yes,07-06-2023,"5,25,00,000"
Better Call Saul: Season 1,No,08-02-2015,"5,25,00,000"
The King's Affection: Season 1 // 연모: 시즌 1,Yes,11-10-2021,"5,24,00,000"
Shameless (U.S.): Season 1,No,,"5,23,00,000"
Missing: Dead or Alive?: Season 1,Yes,10-05-2023,"5,22,00,000"
Bodyguard: Season 1,Yes,24-10-2018,"5,20,00,000"
Dr. Seuss' The Lorax,No,,"5,20,00,000"
1899: Season 1,Yes,17-11-2022,"5,18,00,000"
A Tourist's Guide to Love,Yes,21-04-2023,"5,18,00,000"
It's Okay to Not Be Okay: Season 1 // 사이코지만 괜찮아: 시즌 1,Yes,20-06-2020,"5,18,00,000"
Vikings (2013): Season 4,No,,"5,18,00,000"
Faraway,Yes,08-03-2023,"5,17,00,000"
Blood & Gold,Yes,26-05-2023,"5,16,00,000"
I Am Georgina: Season 2 // Soy Georgina: Temporada 2,Yes,24-03-2023,"5,16,00,000"
The Blacklist: Season 5,No,,"5,16,00,000"
Little Women: Limited Series // 작은 아씨들: 리미티드 시리즈,No,03-09-2022,"5,13,00,000"
Grey's Anatomy: Season 2,No,,"5,12,00,000"
The Walking Dead: Season 9,No,,"5,12,00,000"
The Office (U.S.): Season 3,No,,"5,10,00,000"
The Last Kingdom: Season 1,Yes,28-12-2015,"5,09,00,000"
The Endless Night: Limited Series // Todo Dia a Mesma Noite: Minissérie,Yes,25-01-2023,"5,08,00,000"
Faithfully Yours,No,17-05-2023,"5,06,00,000"
Masha and the Bear: Season 3,No,,"5,04,00,000"
Masha and the Bear: Season 5,No,,"5,03,00,000"
The Office (U.S.): Season 5,No,,"5,01,00,000"
2 Hearts,No,,"5,00,00,000"
Suits (2011): Season 6,Yes,,"5,00,00,000"
Tin & Tina,Yes,26-05-2023,"4,97,00,000"
The Blacklist: Season 6,No,,"4,96,00,000"
Friends (1994): Season 6,No,,"4,94,00,000"
Love Is Blind: Brazil: Season 2 // Casamento às Cegas: Brasil: Temporada 2,Yes,28-12-2022,"4,93,00,000"
VINLAND SAGA: Season 1 // ヴィンランド・サガ: シーズン1,Yes,,"4,93,00,000"
"Newly Rich, Newly Poor: Season 1 // Nuevo rico, nuevo pobre: Temporada 1",No,,"4,92,00,000"
The Lincoln Lawyer: Season 1,Yes,13-05-2022,"4,92,00,000"
Brooklyn Nine-Nine: Season 4,No,,"4,89,00,000"
Cobra Kai: Season 5,Yes,09-09-2022,"4,89,00,000"
Orange Is the New Black: Season 1,Yes,11-07-2013,"4,88,00,000"
El final del paraíso: Season 1,No,,"4,86,00,000"
Shooter: Season 1,No,16-11-2016,"4,86,00,000"
Brooklyn Nine-Nine: Season 5,No,,"4,85,00,000"
Rosario Tijeras (Mexico): Season 1,No,,"4,85,00,000"
The Smurfs (2021): Season 1,No,,"4,84,00,000"
Emily in Paris: Season 1,Yes,02-10-2020,"4,83,00,000"
The Magician's Elephant,Yes,17-03-2023,"4,83,00,000"
Friends (1994): Season 5,No,,"4,82,00,000"
Shrek,No,,"4,81,00,000"
Suits (2011): Season 7,Yes,,"4,81,00,000"
Teen Titans Go!: Season 5,No,,"4,81,00,000"
American Manhunt: The Boston Marathon Bombing: Limited Series,Yes,12-04-2023,"4,79,00,000"
Twenty Five Twenty One: Season 1 // 스물다섯 스물하나: 시즌 1,Yes,12-02-2022,"4,78,00,000"
Shrek 2,No,,"4,75,00,000"
JUNG_E // 정이,Yes,20-01-2023,"4,71,00,000"
Friends (1994): Season 3,No,,"4,69,00,000"
The School for Good and Evil,Yes,19-10-2022,"4,69,00,000"
Puss in Boots (2011),No,,"4,66,00,000"
The Thundermans: Season 2,No,,"4,65,00,000"
Friends (1994): Season 1,No,,"4,64,00,000"
Teen Titans Go!: Season 1,No,,"4,64,00,000"
Rana Naidu: Season 1 // राणा नायडू: सीज़न 1,Yes,10-03-2023,"4,63,00,000"
From Scratch: Limited Series,Yes,21-10-2022,"4,62,00,000"
Bake Squad: Season 2,Yes,20-01-2023,"4,61,00,000"
Friends (1994): Season 7,No,,"4,61,00,000"
Under the Queen's Umbrella: Limited Series // 슈룹: 리미티드 시리즈,Yes,15-10-2022,"4,61,00,000"
Ganglands: Season 2 // Braqueurs : La série: Saison 2,Yes,17-02-2023,"4,60,00,000"
The Queen's Gambit: Limited Series,Yes,23-10-2020,"4,59,00,000"
Virgin River: Season 4,Yes,20-07-2022,"4,59,00,000"
Gabby's Dollhouse: Season 7,Yes,20-03-2023,"4,58,00,000"
A Beautiful Life,Yes,01-06-2023,"4,57,00,000"
Peppa Pig: Season 6,No,,"4,57,00,000"
Copycat Killer: Season 1 // 模仿犯: 第 1 季,Yes,31-03-2023,"4,56,00,000"
Avatar: The Last Airbender: Book 1,No,,"4,55,00,000"
Friends (1994): Season 9,No,,"4,54,00,000"
Peaky Blinders: Season 2,No,14-11-2014,"4,54,00,000"
The Flash (2014): Season 2,No,,"4,54,00,000"
Boys Over Flowers: Volume 1 // 꽃보다 남자: 1권,No,,"4,53,00,000"
The Office (U.S.): Season 2,No,,"4,53,00,000"
Transatlantic: Limited Series,Yes,07-04-2023,"4,53,00,000"
Friends (1994): Season 4,No,,"4,52,00,000"
Masha and the Bear: Season 2,No,,"4,51,00,000"
Friends (1994): Season 8,No,,"4,49,00,000"
The Woman King,No,,"4,49,00,000"
Love Island USA: Season 2,No,,"4,48,00,000"
Money Heist: Part 5 // La casa de papel: Parte 5,Yes,03-09-2021,"4,47,00,000"
The Walking Dead: Season 1,No,,"4,46,00,000"
Grey's Anatomy: Season 3,No,,"4,43,00,000"
S.W.A.T. (2017): Season 3,No,,"4,42,00,000"
Las muñecas de la mafia: Season 1,No,01-07-2015,"4,40,00,000"
Lucifer: Season 4,No,08-05-2019,"4,40,00,000"
Better Call Saul: Season 5,No,24-02-2020,"4,39,00,000"
Teen Wolf (2011): Season 3,No,,"4,39,00,000"
Friends (1994): Season 2,No,,"4,38,00,000"
In Love All Over Again: Season 1 // Todas las veces que nos enamoramos: Season 1,Yes,14-02-2023,"4,38,00,000"
PIECES OF HER: Season 1,Yes,04-03-2022,"4,38,00,000"
F9: The Fast Saga,No,,"4,37,00,000"
The 100: Season 1,No,,"4,36,00,000"
The Blacklist: Season 7,No,,"4,35,00,000"
Vikings (2013): Season 5,No,,"4,34,00,000"
Shameless (U.S.): Season 2,No,,"4,33,00,000"
The Office (U.S.): Season 6,No,,"4,33,00,000"
El Chema: Season 1,No,,"4,32,00,000"
Rosario Tijeras (Mexico): Season 2,No,,"4,32,00,000"
Santiago of the Seas: Season 1,No,,"4,32,00,000"
Seinfeld: Season 6,Yes,,"4,32,00,000"
Inside Man: Season 1,Yes,31-10-2022,"4,31,00,000"
The Last Kingdom: Season 4,No,26-04-2020,"4,29,00,000"
Through My Window 2: Across the Sea // A través de mi ventana 2: A través del mar,Yes,23-06-2023,"4,29,00,000"
CoComelon: Season 6,Yes,05-09-2022,"4,28,00,000"
Seinfeld: Season 4,Yes,,"4,28,00,000"
Valeria: Season 3,Yes,02-06-2023,"4,28,00,000"
Pokémon The Series: Indigo League: Season 1 // ポケットモンスター,No,,"4,27,00,000"
Purple Hearts,Yes,29-07-2022,"4,27,00,000"
The Last Kingdom: Season 3,Yes,19-11-2018,"4,27,00,000"
Waco: American Apocalypse: Limited Series,Yes,22-03-2023,"4,27,00,000"
Gabby's Dollhouse: Season 2,Yes,10-08-2021,"4,26,00,000"
Too Hot to Handle: Season 4,Yes,07-12-2022,"4,26,00,000"
Guillermo del Toro’s Pinocchio,Yes,09-12-2022,"4,25,00,000"
Unlocked // 스마트폰을 떨어뜨렸을 뿐인데,Yes,17-02-2023,"4,25,00,000"
The Crown: Season 1,Yes,04-11-2016,"4,24,00,000"
Arrow: Season 1,No,,"4,23,00,000"
Blippi's Adventures: Season 1,Yes,,"4,21,00,000"
The Good Doctor: Season 4,No,,"4,21,00,000"
Lucifer: Season 6,No,10-09-2021,"4,18,00,000"
"Pamela, a love story",Yes,31-01-2023,"4,18,00,000"
Chor Nikal Ke Bhaga // चोर निकल के भागा,Yes,24-03-2023,"4,17,00,000"
Seinfeld: Season 7,Yes,,"4,17,00,000"
The Garfield Show: Season 1,No,,"4,15,00,000"
Agency: Season 1 // 대행사: 시즌 1,No,,"4,14,00,000"
White Chicks,No,,"4,14,00,000"
Wellmania: Season 1,Yes,29-03-2023,"4,13,00,000"
Seinfeld: Season 3,Yes,,"4,12,00,000"
The Creature Cases: Chapter 1,Yes,12-04-2022,"4,12,00,000"
Maestro in Blue: Season 1 // Maestro: Season 1,Yes,18-12-2022,"4,11,00,000"
Turbo (2013),No,,"4,11,00,000"
McGREGOR FOREVER: Limited Series,Yes,17-05-2023,"4,10,00,000"
Black Money Love: Season 1 // Kara Para Ask: Sezon 1,No,,"4,09,00,000"
Bloodshot (2020),No,,"4,09,00,000"
